,movie_name,year,runtime,genre,rating,votes,gross(in $)
246,Game Night,2018,100 min,thriller,6.9,239542.0,69179066.0
247,Anna,2019,118 min,thriller,6.6,85184.0,7743794.0
248,Man on Fire,2004,146 min,thriller,7.7,367938.0,77911774.0
249,Captain America: The Winter Soldier,2014,136 min,thriller,7.8,854167.0,259766572.0
250,The Hurt Locker,2008,131 min,thriller,7.5,456539.0,17017811.0
251,The Machinist,2004,101 min,thriller,7.7,395895.0,1082715.0
252,Deep Blue Sea,1999,105 min,thriller,5.9,135982.0,73648142.0
253,Vanilla Sky,2001,136 min,thriller,6.9,272227.0,100614858.0
254,Gravity,2013,91 min,thriller,7.7,833286.0,274092705.0
255,Mr. & Mrs. Smith,2005,120 min,thriller,6.5,504188.0,186336279.0
256,First Blood,1982,93 min,thriller,7.7,257935.0,47212904.0
257,Traffic,2000,147 min,thriller,7.6,210005.0,124115725.0
258,A History of Violence,2005,96 min,thriller,7.4,242376.0,31493782.0
259,Venom: Let There Be Carnage,2021,97 min,thriller,5.9,229828.0,213550366.0
260,Limitless,2011,105 min,thriller,7.4,581469.0,79249455.0
261,The Mummy,2017,110 min,thriller,5.4,193552.0,80101125.0
262,San Andreas,2015,114 min,thriller,6.1,242203.0,155190832.0
263,Sicario: Day of the Soldado,2018,122 min,thriller,7.0,152158.0,50072235.0
264,The Fugitive,1993,130 min,thriller,7.8,299707.0,183875760.0
265,Furious 6,2013,130 min,thriller,7.0,398740.0,238679850.0
266,The Post,2017,116 min,thriller,7.2,154096.0,81903458.0
267,Face/Off,1997,138 min,thriller,7.3,382558.0,112225777.0
268,Chinatown,1974,130 min,thriller,8.2,330463.0,8486653.0
269,Dogtooth,2009,97 min,thriller,7.2,98883.0,110248.0
270,Star Trek Beyond,2016,122 min,thriller,7.0,249158.0,158848340.0
271,District 9,2009,112 min,thriller,7.9,688273.0,115646235.0
272,Ava,2020,96 min,thriller,5.4,57831.0,497747.0
273,The Hunt for Red October,1990,135 min,thriller,7.5,204524.0,122012643.0
274,The Lincoln Lawyer,2011,118 min,thriller,7.3,241937.0,58009200.0
275,The Beach,2000,119 min,thriller,6.6,242842.0,39785027.0
276,The Gift,2015,108 min,thriller,7.0,161695.0,43771291.0
277,Contagion,2011,106 min,thriller,6.8,306581.0,75658097.0
278,Hot Fuzz,2007,121 min,thriller,7.8,511241.0,23637265.0
279,A Simple Favor,2018,117 min,thriller,6.8,152256.0,53548586.0
280,The Place Beyond the Pines,2012,140 min,thriller,7.3,273274.0,21383298.0
281,Escape Room,2019,99 min,thriller,6.4,126395.0,57005601.0
282,RED,2010,111 min,thriller,7.0,312635.0,90380162.0
283,Jack Reacher: Never Go Back,2016,118 min,thriller,6.1,162602.0,58697076.0
284,Mission: Impossible II,2000,123 min,thriller,6.1,347930.0,215409889.0
285,Antichrist,2009,108 min,thriller,6.5,129239.0,397070.0
286,The Descent,2005,99 min,thriller,7.2,229770.0,26024456.0
287,Underwater,2020,95 min,thriller,5.8,85619.0,17291078.0
288,The 'Burbs,1989,102 min,thriller,6.8,77979.0,36602000.0
289,Collateral,2004,120 min,thriller,7.5,410754.0,101005703.0
290,The World Is Not Enough,1999,128 min,thriller,6.4,203393.0,126943684.0
291,They Live,1988,94 min,thriller,7.2,133549.0,13008928.0
292,Jackie Brown,1997,154 min,thriller,7.5,354576.0,39673162.0
293,Sinister,2012,110 min,thriller,6.8,258524.0,48086903.0
294,The Talented Mr. Ripley,1999,139 min,thriller,7.4,216061.0,81298265.0
295,The Bodyguard,1992,129 min,thriller,6.3,138662.0,121945720.0
296,The Count of Monte Cristo,2002,131 min,thriller,7.7,140439.0,54234062.0
297,The Drop,2014,106 min,thriller,7.0,154288.0,10724389.0
298,Wrong Turn,2003,84 min,thriller,6.1,123491.0,15417771.0
299,Ghost,1990,127 min,thriller,7.1,221764.0,217631306.0
300,Lethal Weapon,1987,109 min,thriller,7.6,262930.0,65207127.0
301,The Mask of Zorro,1998,136 min,thriller,6.8,188330.0,94095523.0
302,Wanted,2008,110 min,thriller,6.7,393984.0,134508551.0
303,The Book of Eli,2010,118 min,thriller,6.8,322870.0,94835059.0
304,Fifty Shades Darker,2017,118 min,thriller,4.6,104843.0,114376885.0
305,Enemy,2013,91 min,thriller,6.9,198412.0,1007088.0
306,Kill Bill: Vol. 2,2004,137 min,thriller,8.0,764292.0,66208183.0
307,Now You See Me 2,2016,129 min,thriller,6.4,296670.0,65075540.0
308,Lucy,2014,89 min,thriller,6.4,504017.0,126663600.0
309,Under the Silver Lake,2018,139 min,thriller,6.5,44813.0,46083.0
310,Pitch Black,2000,109 min,thriller,7.1,243294.0,39240659.0
311,The Italian Job,2003,111 min,thriller,7.0,373406.0,106128601.0
312,Witness,1985,112 min,thriller,7.4,97826.0,68706993.0
313,The Circle,2017,110 min,thriller,5.3,94492.0,20497844.0
314,Contact,1997,150 min,thriller,7.5,278803.0,100920329.0
315,Poltergeist,1982,114 min,thriller,7.3,168169.0,76606280.0
316,Birth,2004,100 min,thriller,6.2,37505.0,5005883.0
317,Upgrade,2018,100 min,thriller,7.5,189456.0,11977130.0
318,Coraline,2009,100 min,thriller,7.7,236682.0,75286229.0
319,Cold Pursuit,2019,119 min,thriller,6.2,71368.0,32138862.0
320,The Great Wall,2016,103 min,thriller,5.9,138819.0,45540830.0
321,The Abyss,1989,140 min,thriller,7.5,181469.0,54461047.0
322,The Nun,2018,96 min,thriller,5.3,144666.0,117450119.0
323,Everest,2015,121 min,thriller,7.1,221462.0,43482270.0
324,Cloud Atlas,2012,172 min,thriller,7.4,365228.0,27108272.0
325,Mission: Impossible III,2006,126 min,thriller,6.9,361899.0,134029801.0
